backward_error,common_w_factorizations,common_w_solve_vectors,condition_f,h,jvp_vectors,n,oracle_stage_jacobian_builds,production_activation,stage_jacobian_builds,state_relative_difference
2.2654240594673795e-17,1,8,32.1868941892757,0.001,14,4,8,False,0,1.8848678895664682e-16
2.71859495368274e-17,1,8,48.15539609968375,0.01,14,4,8,False,0,3.6548494033031817e-16
4.0312149854839976e-17,1,8,273.5893796138375,0.05,14,4,8,False,0,1.666302071168706e-15
4.385499289973989e-17,1,8,639.3844679761464,0.1,14,4,8,False,0,5.401770427481455e-15
1.4852616054157297e-17,1,8,64.39594926671359,0.001,14,8,8,False,0,2.0556451484980062e-16
2.3251416524296363e-17,1,8,98.04386993105479,0.01,14,8,8,False,0,4.247634410174568e-16
2.927585159676027e-17,1,8,566.0147512882842,0.05,14,8,8,False,0,1.6531644281835385e-15
2.5241839791192305e-17,1,8,1321.8745901132472,0.1,14,8,8,False,0,3.6815106380735504e-15
9.896493735560202e-18,1,8,128.81405942059033,0.001,14,16,8,False,0,2.1377988071050075e-16
1.3531985895212753e-17,1,8,197.8202670133432,0.01,14,16,8,False,0,3.8055024077819215e-16
1.917926854916436e-17,1,8,1150.7273970663073,0.05,14,16,8,False,0,1.7418041110114558e-15
2.1884671911243223e-17,1,8,2686.7976507838134,0.1,14,16,8,False,0,5.090990658366563e-15
