case_id,n,h,condition_f,oracle_backward_error,common_w_backward_error,state_absolute_difference_l2,state_relative_difference,projection_tolerance,max_alpha_forbidden_abs,max_gamma_upper_abs,max_gamma_diagonal_error_abs,setup,factorizations,solves,correction_jvp_vectors,diagnostic_shifted_applies,diagnostic_offdiagonal_jvp_vectors,nonlinear_diagnostics,independent_full_target_applies,counted_candidate_jvp_vectors
identity-n4-h0.001,4,0.001,32.1868941892757,3.228180820039335e-17,2.281987866295143e-17,7.541251357597519e-21,1.8850565945278642e-16,1.4210854715202004e-14,5.577737968635803e-16,4.994632140352628e-16,8.881784197001252e-16,1,1,8,14,8,14,1,2,52
identity-n4-h0.01,4,0.01,48.15539609968375,3.0553107866081096e-17,4.61244359548277e-17,1.5555787497349623e-20,3.8884183031928257e-16,1.4210854715202004e-14,5.577737968635803e-16,4.994632140352628e-16,8.881784197001252e-16,1,1,8,14,8,14,1,2,52
identity-n4-h0.05,4,0.05,273.5893796138375,3.954554328680056e-17,3.487911217605137e-17,5.22116117481002e-20,1.3051128839830006e-15,1.4210854715202004e-14,5.577737968635803e-16,4.994632140352628e-16,8.881784197001252e-16,1,1,8,14,8,14,1,2,52
identity-n4-h0.1,4,0.1,639.3844679761463,2.703317378647457e-17,4.6955771192625894e-17,1.4725863283968875e-19,3.680965452163046e-15,1.4210854715202004e-14,5.577737968635803e-16,4.994632140352628e-16,8.881784197001252e-16,1,1,8,14,8,14,1,2,52
identity-n8-h0.001,8,0.001,64.39594926671359,2.877148627915881e-17,1.448583536835928e-17,1.2803940217784408e-20,2.2526415524990643e-16,1.4210854715202004e-14,5.577737968635803e-16,4.994632140352628e-16,8.881784197001252e-16,1,1,8,14,8,14,1,2,52
identity-n8-h0.01,8,0.01,98.04386993105479,2.587841903479088e-17,2.3796687165740457e-17,2.2627930715745395e-20,3.9810102286942116e-16,1.4210854715202004e-14,5.577737968635803e-16,4.994632140352628e-16,8.881784197001252e-16,1,1,8,14,8,14,1,2,52
identity-n8-h0.05,8,0.05,566.0147512882843,2.6320686110328628e-17,2.763698734197468e-17,1.4150052210580642e-19,2.489467697355702e-15,1.4210854715202004e-14,5.577737968635803e-16,4.994632140352628e-16,8.881784197001252e-16,1,1,8,14,8,14,1,2,52
identity-n8-h0.1,8,0.1,1321.874590113247,2.7626022021954374e-17,2.4546114539322154e-17,2.1340202422834e-19,3.7544557269041444e-15,1.4210854715202004e-14,5.577737968635803e-16,4.994632140352628e-16,8.881784197001252e-16,1,1,8,14,8,14,1,2,52
identity-n16-h0.001,16,0.001,128.81405942059033,1.8859119750875462e-17,9.10148617157151e-18,1.635018381047057e-20,2.037094238987636e-16,1.4210854715202004e-14,5.577737968635803e-16,4.994632140352628e-16,8.881784197001252e-16,1,1,8,14,8,14,1,2,52
identity-n16-h0.01,16,0.01,197.8202670133432,1.942013815695532e-17,1.331784206947948e-17,2.5614623957299162e-20,3.1913649105484487e-16,1.4210854715202004e-14,5.577737968635803e-16,4.994632140352628e-16,8.881784197001252e-16,1,1,8,14,8,14,1,2,52
identity-n16-h0.05,16,0.05,1150.7273970663075,2.5744955772687785e-17,1.613720654880833e-17,1.764471616798077e-19,2.1983819913195782e-15,1.4210854715202004e-14,5.577737968635803e-16,4.994632140352628e-16,8.881784197001252e-16,1,1,8,14,8,14,1,2,52
identity-n16-h0.1,16,0.1,2686.7976507838134,1.7919855882564024e-17,2.5143279721024796e-17,3.743988564520357e-19,4.664692226645801e-15,1.4210854715202004e-14,5.577737968635803e-16,4.994632140352628e-16,8.881784197001252e-16,1,1,8,14,8,14,1,2,52
