scope,problem,n_from,n_to,endpoint_slope,dense_slope,linear_mutant_slope
local_exact_start,exponential,4,8,6.591564671092711,4.934763452271634,1.9190795101299785
local_exact_start,exponential,8,16,6.811994371149559,4.97024986846002,1.9591823388142997
local_exact_start,exponential,16,32,8.28317726360761,4.985534129252374,1.9795014674638094
local_exact_start,exponential,32,64,0.3198629569258769,4.986439597153002,1.9897282657201458
local_exact_start,exponential,64,128,0.9594033232659089,4.892756246340934,1.9948585106080776
local_exact_start,manufactured_nonlinear,4,8,5.824148792622627,4.972813779685718,1.9190814277087602
local_exact_start,manufactured_nonlinear,8,16,5.939292260379966,5.009048993314473,1.959182468045403
local_exact_start,manufactured_nonlinear,16,32,5.981676270938142,5.0119131222545885,1.9795014756919975
local_exact_start,manufactured_nonlinear,32,64,6.060684070032743,5.00406855832148,1.9897282662355722
local_exact_start,manufactured_nonlinear,64,128,6.888915686723424,4.937813040516645,1.9948585106402585
local_exact_start,stiff_manufactured,4,8,3.1991681874376843,3.9253259779207634,1.9190758029048485
local_exact_start,stiff_manufactured,8,16,3.5771993046912782,3.9472573958128185,1.9591806011692465
local_exact_start,stiff_manufactured,16,32,4.760207029161749,3.9502810169053935,1.9795007504283462
local_exact_start,stiff_manufactured,32,64,2.7939392760702657,3.9669122580355056,1.989728073683846
local_exact_start,stiff_manufactured,64,128,2.3831526816794772,4.072534226511685,1.9948585271070354
global_interval,exponential,4,8,5.771901552162853,4.934763452271634,1.919079510129979
global_interval,exponential,8,16,5.9021628112256685,4.97024986846002,1.9591823388142997
global_interval,exponential,16,32,7.328261483635764,4.985534129252374,1.979501467463809
global_interval,exponential,32,64,-0.6575949330602269,4.986439597153002,1.9897282657201458
global_interval,exponential,64,128,-0.029325621727145867,3.830476985237662,1.9948585106080776
global_interval,manufactured_nonlinear,4,8,5.0792646602506855,4.954159830137634,1.919081221346884
global_interval,manufactured_nonlinear,8,16,5.0714169179845765,5.003597890561257,1.9591824565081866
global_interval,manufactured_nonlinear,16,32,5.048868315936876,5.010504964837848,1.979501475037447
global_interval,manufactured_nonlinear,32,64,5.091807021721709,5.00260206035319,1.9897282661972018
global_interval,manufactured_nonlinear,64,128,6.093651802416901,4.650506081972671,1.9948585106379477
global_interval,stiff_manufactured,4,8,3.418485374951769,3.9252949792393106,1.919075804227917
global_interval,stiff_manufactured,8,16,3.711870518270305,3.947128558284853,1.959180601508119
global_interval,stiff_manufactured,16,32,4.82326971578852,3.9500278005621126,1.979500750407023
global_interval,stiff_manufactured,32,64,2.74848244608311,3.9665274263182697,1.989728073537643
global_interval,stiff_manufactured,64,128,2.3128561469816904,4.07208288081604,1.9948585269852634
