profile,family,dimension,rtol,decision_accepted_step,target_attempt_index,t_start,h,zeta34,full_e_total_error,full_e_locally_admissible,target_rjf_jvp_vectors,prefix_jvp_vectors,continuation_jvp_vectors,full_e_jvp_vectors,prefix_over_target_rjf_jvp,continuation_over_target_rjf_jvp,full_e_over_target_rjf_jvp,continuation_over_prefix_jvp,source_file,source_sha256
N192,hires-ramped,192,1.5e-05,15,17,0.7974442553596589,0.05807514969523576,1.5125086300146766,0.06714917027318114,True,86,21,12,33,0.2441860465116279,0.13953488372093023,0.38372093023255816,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration192/hires.json,718f1b4129d748cb9e7b07eee8c553ef4b216c4a970a82ed92078ae875496b25
N192,nonautonomous-stiff-forcing,192,1.5e-05,71,79,0.5115914313271875,0.0021348243347824266,13.39706618860016,0.09540978047778895,True,118,19,12,31,0.16101694915254236,0.1016949152542373,0.2627118644067797,0.631578947368421,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration192/nonautonomous-forcing.json,e3cca37c725e9b72ff1c9f191400bbd5634745d728cc8c3e0633d49b4184c276
N192,nonautonomous-stiff-forcing,192,1.5e-05,91,99,0.5619496762374321,0.0030617757065628352,12.438080458317227,0.05270405023619163,True,118,17,8,25,0.1440677966101695,0.06779661016949153,0.211864406779661,0.47058823529411764,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration192/nonautonomous-forcing.json,e3cca37c725e9b72ff1c9f191400bbd5634745d728cc8c3e0633d49b4184c276
N192,robertson-ramped,192,1.5e-05,7,9,0.01426094313534028,0.004181987700566489,1.483399411797934,0.061415901010865664,True,118,17,12,29,0.1440677966101695,0.1016949152542373,0.2457627118644068,0.7058823529411765,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration192/robertson.json,7f819de81a11fa8ccd8d1a7c9903a4ee7166b245d69080378222070aec35c729
N192,robertson-ramped,192,1.5e-05,15,18,0.05454960650733106,0.005233316078589802,6.40343263381153,0.0627504381916637,True,118,21,12,33,0.17796610169491525,0.1016949152542373,0.2796610169491525,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration192/robertson.json,7f819de81a11fa8ccd8d1a7c9903a4ee7166b245d69080378222070aec35c729
N192,rotating-nonnormal,192,1.5e-05,7,9,0.2141148647518695,0.021858430450087042,0.771695329228143,0.05446694044266672,True,142,19,12,31,0.13380281690140844,0.08450704225352113,0.21830985915492956,0.631578947368421,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration192/rotating-nonnormal.json,b190b2c5af1759ab94032ad5dc1be7a1a454810b50da5a34cf8e644647bfef98
N192,rotating-nonnormal,192,1.5e-05,41,44,0.6493687005713555,0.00605468873597395,0.8070814663711423,0.20314021321183867,True,142,21,12,33,0.14788732394366197,0.08450704225352113,0.2323943661971831,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration192/rotating-nonnormal.json,b190b2c5af1759ab94032ad5dc1be7a1a454810b50da5a34cf8e644647bfef98
N192,rotating-nonnormal,192,1.5e-05,65,68,0.8200834052402238,0.007732742496480463,0.9130923129524559,0.15014912814469564,True,142,23,16,39,0.1619718309859155,0.11267605633802817,0.2746478873239437,0.6956521739130435,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration192/rotating-nonnormal.json,b190b2c5af1759ab94032ad5dc1be7a1a454810b50da5a34cf8e644647bfef98
N192,rotating-nonnormal,192,1.5e-05,89,92,0.9953471146753865,0.004652885324613498,0.5812453366349015,0.034230773389199685,True,142,21,12,33,0.14788732394366197,0.08450704225352113,0.2323943661971831,0.5714285714285714,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration192/rotating-nonnormal.json,b190b2c5af1759ab94032ad5dc1be7a1a454810b50da5a34cf8e644647bfef98
N192,semilinear-advection-diffusion-ramped,192,1.5e-05,10,12,0.5958840864998669,0.033954249534325964,1.5503399598243728,0.2715484795919209,True,1210,67,140,207,0.05537190082644628,0.11570247933884298,0.17107438016528925,2.08955223880597,research/generic_enforced_prefix_budget_v35/results/consumed_replay/calibration192/semilinear.json,b4e934befba19bffcb63ff406b5c3c150189c86788e96674d72c0edb73d7a6eb
