scope,dimension,feature,rows,unsafe,orientation,orientation_free_auc,oriented_average_precision,raw_auc
pooled,,stage_log_curvature_kappa234,48,5,higher-is-unsafe,0.6651162790697676,0.36303030303030304,0.6651162790697676
dimension,96.0,stage_log_curvature_kappa234,25,1,higher-is-unsafe,0.7916666666666666,0.16666666666666666,0.7916666666666666
dimension,256.0,stage_log_curvature_kappa234,23,4,higher-is-unsafe,0.6842105263157895,0.5163690476190477,0.6842105263157895
pooled,,remainder_chi23,48,5,higher-is-unsafe,0.5906976744186047,0.24398013028756077,0.5906976744186047
dimension,96.0,remainder_chi23,25,1,lower-is-unsafe,0.9166666666666666,0.3333333333333333,0.08333333333333337
dimension,256.0,remainder_chi23,23,4,higher-is-unsafe,0.7236842105263157,0.4666666666666667,0.7236842105263157
pooled,,remainder_chi34,48,5,higher-is-unsafe,0.6093023255813954,0.3894346757421063,0.6093023255813954
dimension,96.0,remainder_chi34,25,1,lower-is-unsafe,0.9166666666666666,0.3333333333333333,0.08333333333333337
dimension,256.0,remainder_chi34,23,4,higher-is-unsafe,0.75,0.6166666666666667,0.75
pooled,,remainder_chi24,48,5,higher-is-unsafe,0.6,0.2639801302875608,0.6
dimension,96.0,remainder_chi24,25,1,lower-is-unsafe,0.9166666666666666,0.3333333333333333,0.08333333333333337
dimension,256.0,remainder_chi24,23,4,higher-is-unsafe,0.7302631578947368,0.4666666666666667,0.7302631578947368
pooled,,remainder_q34_perp,48,5,lower-is-unsafe,0.6093023255813954,0.3894346757421063,0.39069767441860465
dimension,96.0,remainder_q34_perp,25,1,higher-is-unsafe,0.9166666666666666,0.3333333333333333,0.9166666666666666
dimension,256.0,remainder_q34_perp,23,4,lower-is-unsafe,0.75,0.6166666666666667,0.25
pooled,,remainder_delta_chi,48,5,higher-is-unsafe,0.5767441860465117,0.22558441558441555,0.5767441860465117
dimension,96.0,remainder_delta_chi,25,1,lower-is-unsafe,0.9583333333333334,0.5,0.04166666666666663
dimension,256.0,remainder_delta_chi,23,4,higher-is-unsafe,0.6973684210526315,0.4,0.6973684210526315
