trajectory_id,family,dimension,rtol,decision_accepted_step,target_attempt_index,target_accepted_steps_before,t_start,h,target_r_error_norm,zeta23,zeta34,relative_drift,stage_log_curvature_kappa234,remainder_chi34,rho2,rho3,rho4,audit_full_e_total_error,audit_full_e_locally_admissible,unsafe,actual_prefix_jvp_vectors
hires-ramped-n256,hires-ramped,256,3e-05,4,5,5,0.2662939998719334,0.06720312590626967,0.22538408923439385,10.873617693092314,23.65228410234199,0.37011825165243106,0.26846467816720887,1.0,3.21008297918138,15.429453223064415,68.40306232212355,1.9840230924472517,False,True,19
hires-ramped-n256,hires-ramped,256,3e-05,9,11,10,0.528085308729814,0.05188061454157929,0.09497771289904995,34.77750532613651,50.61573235151015,0.18547401944357472,-0.11961374202452957,0.9999999999999984,26.858817162451224,97.98332179083981,273.6829070433419,1.153736069494021,False,True,21
hires-ramped-n256,hires-ramped,256,3e-05,14,16,15,0.8075988654419904,0.07095098389725227,0.023480599820916635,1.1538724471915796,1.4685666552317727,0.12000057799221701,-0.04415735882116567,0.9999999999999986,1.4470085894674662,5.497807183461081,16.615627627752467,0.06611671041937321,True,False,21
hires-ramped-n96,hires-ramped,96,3e-06,4,6,5,0.17371069386572993,0.0392162023416084,0.04458061252642754,0.5558191728617302,1.137581835525021,0.3435468975051086,0.19785220905627732,0.9999999999999997,0.2285776773998372,1.0430881235266962,4.245225098235337,0.08190510530427424,True,False,21
hires-ramped-n96,hires-ramped,96,3e-06,17,19,18,0.6462670789904085,0.02702980374856127,0.10376554131517135,4.379528596719548,6.23416012548466,0.1747395818086466,-0.06462450304479184,0.9999999999999997,5.0836079555436715,19.227173588401513,57.19304266064195,0.20406458303012415,True,False,21
nonautonomous-stiff-forcing-n256,nonautonomous-stiff-forcing,256,3e-05,17,25,18,0.4065750304074851,0.003854081266499362,0.4141115518350096,62.50357042429309,82.65571521586895,0.13882780355871535,0.05540334253390378,0.9994411504859773,52.96080376216689,189.91650606689015,579.4442434006331,1.1589798513834526,False,True,17
nonautonomous-stiff-forcing-n256,nonautonomous-stiff-forcing,256,3e-05,26,34,27,0.4353846542975862,0.0025401743718945044,0.24521374406452953,62.513253114361525,71.00483532031836,0.06359874010712126,-0.2853784492289988,0.9983592961989248,60.065627475182026,225.46856902874018,585.2979884688926,0.26495053772661614,True,False,17
nonautonomous-stiff-forcing-n256,nonautonomous-stiff-forcing,256,3e-05,36,44,37,0.4591658865256972,0.0022388743867680677,0.17213002812643755,49.28450839264116,60.67112955418239,0.10355650127779717,0.23086478037420544,0.9987136163285703,87.74698910862878,220.7337002972315,552.7649785115572,0.22583435948319414,True,False,17
nonautonomous-stiff-forcing-n256,nonautonomous-stiff-forcing,256,3e-05,47,55,48,0.4830154574995373,0.00207736483070322,0.151182989906214,13.462231882208282,21.44770826368738,0.22874506080807322,-0.022135804309255214,0.9997253192113899,29.779516656598776,116.58418957647069,366.1132357498061,0.07398471763164335,True,False,19
nonautonomous-stiff-forcing-n256,nonautonomous-stiff-forcing,256,3e-05,59,67,60,0.5095894537342331,0.002414389753482703,0.11035560651414637,7.221733135374017,10.838048608237296,0.20024137191705307,-0.03157283249641751,0.999891551728346,44.504515520862974,171.1935121000566,526.7158529241502,0.11256470646583816,True,False,17
