feature,held_out_family,rows,unsafe,orientation,orientation_free_auc,oriented_average_precision,raw_auc
zeta34,hires-ramped,43,3,higher-is-unsafe,0.8083333333333335,0.24027777777777776,0.8083333333333335
zeta34,nonautonomous-stiff-forcing,28,3,higher-is-unsafe,0.96,0.6388888888888888,0.96
zeta34,robertson-ramped,45,5,higher-is-unsafe,0.75,0.24385706914344685,0.75
zeta34,rotating-nonnormal,37,5,higher-is-unsafe,0.6875,0.24385706914344685,0.6875
zeta34,semilinear-advection-diffusion-ramped,46,5,higher-is-unsafe,0.7560975609756098,0.24385706914344685,0.7560975609756098
zeta34,van-der-pol-ramped,41,4,higher-is-unsafe,0.7635135135135136,0.24215686274509804,0.7635135135135136
relative_drift,hires-ramped,43,3,lower-is-unsafe,0.5333333333333333,0.17413632119514472,0.4666666666666667
relative_drift,nonautonomous-stiff-forcing,28,3,higher-is-unsafe,0.5333333333333333,0.262987012987013,0.5333333333333333
relative_drift,robertson-ramped,45,5,higher-is-unsafe,0.585,0.4114480814561007,0.585
relative_drift,rotating-nonnormal,37,5,higher-is-unsafe,0.5625,0.2921503759398496,0.5625
relative_drift,semilinear-advection-diffusion-ramped,46,5,higher-is-unsafe,0.575609756097561,0.2764004361455636,0.575609756097561
relative_drift,van-der-pol-ramped,41,4,higher-is-unsafe,0.7094594594594594,0.32453703703703707,0.7094594594594594
zeta23,hires-ramped,43,3,higher-is-unsafe,0.8166666666666667,0.24314574314574317,0.8166666666666667
zeta23,nonautonomous-stiff-forcing,28,3,higher-is-unsafe,0.9466666666666667,0.7222222222222222,0.9466666666666667
zeta23,robertson-ramped,45,5,higher-is-unsafe,0.7449999999999999,0.24134199134199136,0.7449999999999999
zeta23,rotating-nonnormal,37,5,higher-is-unsafe,0.6875,0.2435064935064935,0.6875
zeta23,semilinear-advection-diffusion-ramped,46,5,higher-is-unsafe,0.751219512195122,0.24134199134199136,0.751219512195122
zeta23,van-der-pol-ramped,41,4,higher-is-unsafe,0.75,0.23499088630667578,0.75
stage_log_curvature_kappa234,hires-ramped,43,3,higher-is-unsafe,0.7583333333333333,0.18095238095238095,0.7583333333333333
stage_log_curvature_kappa234,nonautonomous-stiff-forcing,28,3,higher-is-unsafe,0.5333333333333334,0.42165242165242167,0.5333333333333334
stage_log_curvature_kappa234,robertson-ramped,45,5,higher-is-unsafe,0.6599999999999999,0.3663492063492063,0.6599999999999999
stage_log_curvature_kappa234,rotating-nonnormal,37,5,higher-is-unsafe,0.6375000000000001,0.3759614723082215,0.6375000000000001
stage_log_curvature_kappa234,semilinear-advection-diffusion-ramped,46,5,higher-is-unsafe,0.6682926829268293,0.3677002583979328,0.6682926829268293
stage_log_curvature_kappa234,van-der-pol-ramped,41,4,higher-is-unsafe,0.7094594594594595,0.4661172161172161,0.7094594594594595
remainder_chi34,hires-ramped,43,3,lower-is-unsafe,0.5999999999999999,0.1638888888888889,0.4
remainder_chi34,nonautonomous-stiff-forcing,28,3,higher-is-unsafe,0.88,0.5777777777777777,0.88
remainder_chi34,robertson-ramped,45,5,higher-is-unsafe,0.615,0.4010526315789474,0.615
remainder_chi34,rotating-nonnormal,37,5,higher-is-unsafe,0.6125,0.40458333333333335,0.6125
remainder_chi34,semilinear-advection-diffusion-ramped,46,5,higher-is-unsafe,0.6097560975609756,0.3915697310819262,0.6097560975609756
remainder_chi34,van-der-pol-ramped,41,4,higher-is-unsafe,0.5405405405405406,0.3984555984555984,0.5405405405405406
