dimension,family_file,section,exact_nonwall,new_rows,old_rows
96,hires,attempt_rows,True,29,29
96,hires,accepted_rows,True,28,28
96,hires,trajectories,True,1,1
96,nonautonomous-forcing,attempt_rows,True,239,239
96,nonautonomous-forcing,accepted_rows,True,232,232
96,nonautonomous-forcing,trajectories,True,1,1
96,robertson,attempt_rows,True,29,29
96,robertson,accepted_rows,True,27,27
96,robertson,trajectories,True,1,1
96,rotating-nonnormal,attempt_rows,True,135,135
96,rotating-nonnormal,accepted_rows,True,134,134
96,rotating-nonnormal,trajectories,True,1,1
96,semilinear,attempt_rows,True,33,33
96,semilinear,accepted_rows,True,30,30
96,semilinear,trajectories,True,1,1
96,van-der-pol,attempt_rows,True,98,98
96,van-der-pol,accepted_rows,True,93,93
96,van-der-pol,trajectories,True,1,1
256,hires,attempt_rows,True,19,19
256,hires,accepted_rows,True,18,18
256,hires,trajectories,True,1,1
256,nonautonomous-forcing,attempt_rows,True,144,144
256,nonautonomous-forcing,accepted_rows,True,137,137
256,nonautonomous-forcing,trajectories,True,1,1
256,robertson,attempt_rows,True,22,22
256,robertson,accepted_rows,True,20,20
256,robertson,trajectories,True,1,1
256,rotating-nonnormal,attempt_rows,True,79,79
256,rotating-nonnormal,accepted_rows,True,77,77
256,rotating-nonnormal,trajectories,True,1,1
256,semilinear,attempt_rows,True,28,28
256,semilinear,accepted_rows,True,26,26
256,semilinear,trajectories,True,1,1
256,van-der-pol,attempt_rows,True,51,51
256,van-der-pol,accepted_rows,True,45,45
256,van-der-pol,trajectories,True,1,1
